env_id,method,seed,step,fitness
CartPole-v1,ppo,1234,1000,500.0
CartPole-v1,ppo,1234,2000,500.0
CartPole-v1,ppo,1234,3000,492.6
CartPole-v1,ppo,1234,4000,492.6
CartPole-v1,ppo,1234,5000,443.2
CartPole-v1,ppo,1234,6000,443.2
CartPole-v1,ppo,1234,7000,403.8
CartPole-v1,ppo,1234,8000,403.8
CartPole-v1,ppo,1234,9000,412.4
CartPole-v1,ppo,1234,10000,412.4
CartPole-v1,ppo,1234,11000,306.6
CartPole-v1,ppo,1234,12000,306.6
CartPole-v1,ppo,1234,13000,348.6
CartPole-v1,ppo,1234,14000,348.6
CartPole-v1,ppo,1234,15000,295.6
CartPole-v1,ppo,1234,16000,295.6
CartPole-v1,ppo,1234,17000,422.0
CartPole-v1,ppo,1234,18000,422.0
CartPole-v1,ppo,1234,19000,486.8
CartPole-v1,ppo,1234,20000,486.8
CartPole-v1,ppo,1234,20480,500.0
CartPole-v1,neat,1234,816,500.0
CartPole-v1,neat,1234,3134,500.0
CartPole-v1,neat,1234,4727,500.0
CartPole-v1,neat,1234,7217,500.0
CartPole-v1,neat,1234,9148,500.0
CartPole-v1,neat,1234,11459,500.0
CartPole-v1,neat,1234,14129,500.0
CartPole-v1,neat,1234,17563,500.0
CartPole-v1,neat,1234,21208,500.0
CartPole-v1,ppo,1235,1000,105.6
CartPole-v1,ppo,1235,2000,105.6
CartPole-v1,ppo,1235,3000,159.8
CartPole-v1,ppo,1235,4000,159.8
CartPole-v1,ppo,1235,5000,243.4
CartPole-v1,ppo,1235,6000,243.4
CartPole-v1,ppo,1235,7000,365.8
CartPole-v1,ppo,1235,8000,365.8
CartPole-v1,ppo,1235,9000,357.8
CartPole-v1,ppo,1235,10000,357.8
CartPole-v1,ppo,1235,11000,408.2
CartPole-v1,ppo,1235,12000,408.2
CartPole-v1,ppo,1235,13000,466.4
CartPole-v1,ppo,1235,14000,466.4
CartPole-v1,ppo,1235,15000,436.6
CartPole-v1,ppo,1235,16000,436.6
CartPole-v1,ppo,1235,17000,500.0
CartPole-v1,ppo,1235,18000,500.0
CartPole-v1,ppo,1235,19000,500.0
CartPole-v1,ppo,1235,20000,500.0
CartPole-v1,ppo,1235,20480,500.0
CartPole-v1,neat,1235,287,36.0
CartPole-v1,neat,1235,703,132.0
CartPole-v1,neat,1235,1346,142.0
CartPole-v1,neat,1235,2525,266.0
CartPole-v1,neat,1235,3897,285.0
CartPole-v1,neat,1235,5554,496.0
CartPole-v1,neat,1235,7271,496.0
CartPole-v1,neat,1235,9002,500.0
CartPole-v1,neat,1235,11539,500.0
CartPole-v1,neat,1235,13932,500.0
CartPole-v1,neat,1235,18376,500.0
CartPole-v1,neat,1235,22731,500.0
CartPole-v1,ppo,1236,1000,9.2
CartPole-v1,ppo,1236,2000,9.2
CartPole-v1,ppo,1236,3000,160.2
CartPole-v1,ppo,1236,4000,160.2
CartPole-v1,ppo,1236,5000,173.8
CartPole-v1,ppo,1236,6000,173.8
CartPole-v1,ppo,1236,7000,359.8
CartPole-v1,ppo,1236,8000,359.8
CartPole-v1,ppo,1236,9000,368.2
CartPole-v1,ppo,1236,10000,368.2
CartPole-v1,ppo,1236,11000,425.8
CartPole-v1,ppo,1236,12000,425.8
CartPole-v1,ppo,1236,13000,371.6
CartPole-v1,ppo,1236,14000,371.6
CartPole-v1,ppo,1236,15000,431.4
CartPole-v1,ppo,1236,16000,431.4
CartPole-v1,ppo,1236,17000,468.2
CartPole-v1,ppo,1236,18000,468.2
CartPole-v1,ppo,1236,19000,491.4
CartPole-v1,ppo,1236,20000,491.4
CartPole-v1,ppo,1236,20480,500.0
CartPole-v1,neat,1236,248,29.0
CartPole-v1,neat,1236,694,63.0
CartPole-v1,neat,1236,1450,107.0
CartPole-v1,neat,1236,2562,160.0
CartPole-v1,neat,1236,4264,316.0
CartPole-v1,neat,1236,6349,316.0
CartPole-v1,neat,1236,9953,500.0
CartPole-v1,neat,1236,13699,500.0
CartPole-v1,neat,1236,17493,500.0
CartPole-v1,neat,1236,22048,500.0
