env_id,method,seed,step,fitness
Pendulum-v1,ppo,1234,25000,-1162.9028329882972
Pendulum-v1,ppo,1234,50000,-1242.4761079697805
Pendulum-v1,ppo,1234,75000,-1121.8834055335935
Pendulum-v1,ppo,1234,100000,-1034.8022137078574
Pendulum-v1,ppo,1234,125000,-1034.7883038062039
Pendulum-v1,ppo,1234,150000,-1045.2866697510108
Pendulum-v1,ppo,1234,175000,-863.4988599256636
Pendulum-v1,ppo,1234,200000,-615.2269147611503
Pendulum-v1,ppo,1234,225000,-552.1821243036181
Pendulum-v1,ppo,1234,250000,-489.61522762525266
Pendulum-v1,ppo,1234,275000,-389.088132214377
Pendulum-v1,ppo,1234,300000,-241.717709058952
Pendulum-v1,ppo,1234,325000,-225.5514514969656
Pendulum-v1,ppo,1234,350000,-210.54408579601596
Pendulum-v1,ppo,1234,375000,-226.0782162926787
Pendulum-v1,ppo,1234,400000,-224.75211045262822
Pendulum-v1,ppo,1234,425000,-199.53577376907148
Pendulum-v1,ppo,1234,450000,-197.76900084825425
Pendulum-v1,ppo,1234,475000,-202.852971280355
Pendulum-v1,ppo,1234,500000,-201.86764669615428
Pendulum-v1,ppo,1234,501760,-201.9313709295931
Pendulum-v1,ppo_tuned,1234,25000,-1214.5526599946227
Pendulum-v1,ppo_tuned,1234,50000,-1214.2139127421187
Pendulum-v1,ppo_tuned,1234,75000,-1192.0828242081466
Pendulum-v1,ppo_tuned,1234,100000,-1239.4072959561686
Pendulum-v1,ppo_tuned,1234,125000,-1191.9449187862294
Pendulum-v1,ppo_tuned,1234,150000,-1201.2877277180537
Pendulum-v1,ppo_tuned,1234,175000,-1282.288161209811
Pendulum-v1,ppo_tuned,1234,200000,-1156.9646325511526
Pendulum-v1,ppo_tuned,1234,225000,-1174.8466943182245
Pendulum-v1,ppo_tuned,1234,250000,-1325.0495872083159
Pendulum-v1,ppo_tuned,1234,275000,-1230.807923650358
Pendulum-v1,ppo_tuned,1234,300000,-1163.2455671509056
Pendulum-v1,ppo_tuned,1234,325000,-1190.500529581719
Pendulum-v1,ppo_tuned,1234,350000,-1170.2725772945503
Pendulum-v1,ppo_tuned,1234,375000,-1328.7820578871729
Pendulum-v1,ppo_tuned,1234,400000,-1104.9535742819157
Pendulum-v1,ppo_tuned,1234,425000,-1201.9910331062788
Pendulum-v1,ppo_tuned,1234,450000,-1078.2107211785858
Pendulum-v1,ppo_tuned,1234,475000,-1095.2025589056748
Pendulum-v1,ppo_tuned,1234,500000,-1062.9039777154906
Pendulum-v1,ppo_tuned,1234,500736,-1121.8865375732328
Pendulum-v1,es,1234,32000,-1268.1771645495896
Pendulum-v1,es,1234,56000,-1201.7124584911994
Pendulum-v1,es,1234,80000,-1364.939668068444
Pendulum-v1,es,1234,104000,-1139.6859716241345
Pendulum-v1,es,1234,128000,-1065.141187569697
Pendulum-v1,es,1234,152000,-1036.4710330638704
