env_id,method,condition,seed,fitness
CartPole-v1,ppo,clean,1234,500.0
CartPole-v1,ppo,perturbed,1234,500.0
CartPole-v1,neat,clean,1234,500.0
CartPole-v1,neat,perturbed,1234,500.0
CartPole-v1,ppo,clean,1235,500.0
CartPole-v1,ppo,perturbed,1235,500.0
CartPole-v1,neat,clean,1235,500.0
CartPole-v1,neat,perturbed,1235,500.0
CartPole-v1,ppo,clean,1236,500.0
CartPole-v1,ppo,perturbed,1236,500.0
CartPole-v1,neat,clean,1236,500.0
CartPole-v1,neat,perturbed,1236,500.0
CartPole-v1,random,clean,1234,21.6
CartPole-v1,random,clean,1235,16.4
CartPole-v1,random,clean,1236,25.0
CartPole-v1,heuristic,clean,1234,500.0
CartPole-v1,heuristic,clean,1235,500.0
CartPole-v1,heuristic,clean,1236,500.0
