env_id,method,condition,seed,fitness
Pendulum-v1,ppo,clean,1234,-201.9313709295931
Pendulum-v1,ppo,perturbed,1234,-151.3721436540475
Pendulum-v1,ppo_tuned,clean,1234,-1121.8865375732328
Pendulum-v1,ppo_tuned,perturbed,1234,-1032.8072595288777
Pendulum-v1,es,clean,1234,-1229.49190627271
Pendulum-v1,es,perturbed,1234,-1210.3789020250588
Pendulum-v1,cmaes,clean,1234,-931.4350448177381
Pendulum-v1,cmaes,perturbed,1234,-876.9778271555011
Pendulum-v1,neat,clean,1234,-1186.2494162952369
Pendulum-v1,neat,perturbed,1234,-1331.19769845138
Pendulum-v1,ppo,clean,1235,-182.87894632976452
Pendulum-v1,ppo,perturbed,1235,-177.88339522223993
Pendulum-v1,ppo_tuned,clean,1235,-1070.5336720553785
Pendulum-v1,ppo_tuned,perturbed,1235,-1067.0389170449212
Pendulum-v1,es,clean,1235,-1075.5663452957142
Pendulum-v1,es,perturbed,1235,-1075.3449999615464
Pendulum-v1,cmaes,clean,1235,-840.5760336329637
Pendulum-v1,cmaes,perturbed,1235,-821.6219686969565
Pendulum-v1,neat,clean,1235,-990.1148279298656
Pendulum-v1,neat,perturbed,1235,-1082.2819973747241
Pendulum-v1,ppo,clean,1236,-204.63751275729052
Pendulum-v1,ppo,perturbed,1236,-204.90836901029266
Pendulum-v1,ppo_tuned,clean,1236,-1048.3837279623956
Pendulum-v1,ppo_tuned,perturbed,1236,-1037.157966819705
Pendulum-v1,es,clean,1236,-1208.1343390985687
Pendulum-v1,es,perturbed,1236,-1193.3162866225257
Pendulum-v1,cmaes,clean,1236,-1108.3099629556575
Pendulum-v1,cmaes,perturbed,1236,-1070.5477965026596
Pendulum-v1,neat,clean,1236,-1198.124048398366
Pendulum-v1,neat,perturbed,1236,-1168.6605496632153
Pendulum-v1,ppo,clean,1237,-173.83001144758822
Pendulum-v1,ppo,perturbed,1237,-168.55045500947466
Pendulum-v1,ppo_tuned,clean,1237,-948.9555203830375
Pendulum-v1,ppo_tuned,perturbed,1237,-976.4567115764976
Pendulum-v1,es,clean,1237,-1072.650006991185
Pendulum-v1,es,perturbed,1237,-1053.0039072317625
Pendulum-v1,cmaes,clean,1237,-1048.081582615218
Pendulum-v1,cmaes,perturbed,1237,-1004.2364641125077
Pendulum-v1,neat,clean,1237,-1349.3946250888725
Pendulum-v1,neat,perturbed,1237,-1357.8780307761012
Pendulum-v1,ppo,clean,1238,-216.58472325255434
Pendulum-v1,ppo,perturbed,1238,-214.27092039986331
Pendulum-v1,ppo_tuned,clean,1238,-1072.7778399678787
Pendulum-v1,ppo_tuned,perturbed,1238,-1072.1262974454864
Pendulum-v1,es,clean,1238,-956.2635022595487
Pendulum-v1,es,perturbed,1238,-952.5051998376341
Pendulum-v1,cmaes,clean,1238,-979.1542429242141
Pendulum-v1,cmaes,perturbed,1238,-983.9278150634422
Pendulum-v1,neat,clean,1238,-1288.0868217882821
Pendulum-v1,neat,perturbed,1238,-1294.8933611487896
Pendulum-v1,ppo,clean,1239,-204.19994300531704
Pendulum-v1,ppo,perturbed,1239,-166.92623917152403
Pendulum-v1,ppo_tuned,clean,1239,-1079.4640403218673
Pendulum-v1,ppo_tuned,perturbed,1239,-1070.3504205515158
Pendulum-v1,es,clean,1239,-1151.6623661489523
Pendulum-v1,es,perturbed,1239,-1143.7701135817547
Pendulum-v1,cmaes,clean,1239,-812.1259073565413
Pendulum-v1,cmaes,perturbed,1239,-832.7539297278348
Pendulum-v1,neat,clean,1239,-1157.6727869089532
Pendulum-v1,neat,perturbed,1239,-1020.9866483972233
Pendulum-v1,ppo,clean,1240,-344.59405114577993
Pendulum-v1,ppo,perturbed,1240,-220.53234910192555
Pendulum-v1,ppo_tuned,clean,1240,-1237.2160427987699
Pendulum-v1,ppo_tuned,perturbed,1240,-1101.5277033261996
Pendulum-v1,es,clean,1240,-931.4299940054758
Pendulum-v1,es,perturbed,1240,-903.6362285585021
Pendulum-v1,cmaes,clean,1240,-1172.439018975703
Pendulum-v1,cmaes,perturbed,1240,-1112.9137884976833
Pendulum-v1,neat,clean,1240,-884.2798562953627
Pendulum-v1,neat,perturbed,1240,-948.466749703391
Pendulum-v1,ppo,clean,1241,-179.53400948305887
Pendulum-v1,ppo,perturbed,1241,-146.30410754030692
Pendulum-v1,ppo_tuned,clean,1241,-1134.444605297832
Pendulum-v1,ppo_tuned,perturbed,1241,-1099.881337772022
Pendulum-v1,es,clean,1241,-1074.3116465518494
Pendulum-v1,es,perturbed,1241,-1044.6770601890844
Pendulum-v1,cmaes,clean,1241,-884.6187950692035
Pendulum-v1,cmaes,perturbed,1241,-891.1965466871885
Pendulum-v1,neat,clean,1241,-1034.7935035400321
Pendulum-v1,neat,perturbed,1241,-933.3455224064153
Pendulum-v1,ppo,clean,1242,-217.87933741978696
Pendulum-v1,ppo,perturbed,1242,-292.44416713707017
Pendulum-v1,ppo_tuned,clean,1242,-1070.5189014725515
Pendulum-v1,ppo_tuned,perturbed,1242,-1029.5993684823693
